frequency,tf
20,78.5
20.1386,78.5
20.2782,78.5
20.4188,78.5
20.5603,77.2645
20.7028,76.9559
20.8464,76.6474
20.9909,76.3391
21.1364,76.0311
21.2829,75.7233
21.4304,75.4158
21.5789,75.1086
21.7285,74.8018
21.8791,74.4953
22.0308,74.1893
22.1835,73.8837
22.3373,73.5786
22.4921,73.274
22.648,72.97
22.805,72.6665
22.9631,72.3637
23.1222,72.0615
23.2825,71.7599
23.4439,71.4591
23.6064,71.159
23.7701,70.8597
23.9348,70.5612
24.1007,70.2635
24.2678,69.9667
24.436,69.6707
24.6054,68.7
24.7759,68.7
24.9477,68.7
25.1206,68.7
25.2947,68.7
25.4701,68.7
25.6466,67.6268
25.8244,67.339
26.0034,67.0521
26.1836,66.7663
26.3651,66.4816
26.5479,66.1978
26.7319,65.9151
26.9172,65.6335
27.1038,65.3528
27.2917,65.0732
27.4808,64.7946
27.6713,64.517
27.8631,64.2405
28.0563,63.965
28.2508,63.6905
28.4466,63.4171
28.6438,63.1447
28.8423,62.8733
29.0422,62.6029
29.2435,62.3336
29.4463,62.0652
29.6504,61.7979
29.8559,61.5317
30.0628,61.2664
30.2712,61.0022
30.4811,60.739
30.6923,60.4768
30.9051,60.2156
31.1193,59.5
31.335,59.5
31.5522,59.5
31.7709,59.5
31.9912,59.5
32.2129,58.6699
32.4362,58.4157
32.661,58.1626
32.8874,57.9103
33.1154,57.659
33.3449,57.4087
33.5761,57.1592
33.8088,56.9106
34.0432,56.663
34.2791,56.4162
34.5168,56.1702
34.756,55.9251
34.9969,55.6808
35.2395,55.4373
35.4838,55.1946
35.7298,54.9528
35.9774,54.7117
36.2268,54.4713
36.4779,54.2317
36.7308,53.9929
36.9854,53.7547
37.2417,53.5173
37.4999,53.2806
37.7598,53.0445
38.0216,52.8092
38.2851,52.5745
38.5505,52.3404
38.8177,52.1069
39.0868,51.8741
39.3577,51.6419
39.6306,51.1
39.9053,51.1
40.1819,51.1
40.4604,51.1
40.7408,50.4894
41.0233,50.2607
41.3076,50.0325
41.5939,49.8049
41.8823,49.578
42.1726,49.3517
42.4649,49.126
42.7593,48.901
43.0556,48.6766
43.3541,48.4529
43.6546,48.2298
43.9572,48.0075
44.2619,47.7858
44.5687,47.5649
44.8776,47.3447
45.1887,47.1252
45.502,46.9064
45.8174,46.6884
46.135,46.4711
46.4547,46.2547
46.7767,46.0389
47.101,45.824
47.4275,45.6099
47.7562,45.3966
48.0873,45.1841
48.4206,44.9724
48.7562,44.7616
49.0942,44.5516
49.4345,44.3425
49.7772,44
50.1222,44
50.4696,44
50.8195,43.5147
51.1717,43.3099
51.5264,43.106
51.8836,42.9029
52.2432,42.7007
52.6054,42.4993
52.97,42.2987
53.3372,42.0989
53.7069,41.8999
54.0792,41.7016
54.454,41.5042
54.8315,41.3075
55.2116,41.1116
55.5943,40.9164
55.9796,40.7219
56.3677,40.5282
56.7584,40.3352
57.1518,40.1429
57.548,39.9513
57.9469,39.7603
58.3485,39.5701
58.753,39.3805
59.1602,39.1915
59.5703,39.0032
59.9833,38.8156
60.399,38.6285
60.8177,38.4421
61.2393,38.2563
61.6638,38.0711
62.0912,37.8865
62.5216,37.5
62.955,37.5
63.3914,37.5
63.8308,37.1537
64.2732,36.9719
64.7187,36.7906
65.1674,36.6099
65.619,36.4298
66.0739,36.2502
66.5319,36.0712
66.9931,35.8927
67.4575,35.7148
67.9251,35.5374
68.3959,35.3606
68.87,35.1844
69.3474,35.0087
69.8281,34.8336
70.3121,34.659
70.7995,34.485
71.2902,34.3116
71.7844,34.1387
72.282,33.9664
72.783,33.7946
73.2875,33.6234
73.7955,33.4527
74.3071,33.2827
74.8221,33.1131
75.3408,32.9442
75.863,32.7758
76.3889,32.6079
76.9184,32.4406
77.4515,32.2739
77.9884,32.1077
78.529,31.9421
79.0733,31.7771
79.6214,31.5
80.1734,31.5
80.7291,31.2853
81.2887,31.1225
81.8521,30.9603
82.4195,30.7986
82.9908,30.6375
83.5661,30.477
84.1453,30.317
84.7286,30.1576
85.3159,29.9987
85.9073,29.8404
86.5028,29.6826
87.1024,29.5254
87.7062,29.3688
88.3141,29.2127
88.9263,29.0572
89.5427,28.9022
90.1633,28.7478
90.7883,28.594
91.4176,28.4407
92.0513,28.288
92.6894,28.1358
93.3319,27.9842
93.9788,27.8331
94.6303,27.6826
95.2862,27.5327
95.9467,27.3833
96.6118,27.2344
97.2814,27.0861
97.9558,26.9384
98.6348,26.7912
99.3185,26.6446
100.007,26.5
100.7,26.353
101.398,26.2081
102.101,26.0637
102.809,25.9198
103.521,25.7766
104.239,25.6339
104.961,25.4918
105.689,25.3502
106.422,25.2093
107.159,25.0689
107.902,24.9291
108.65,24.79
109.403,24.6514
110.162,24.5134
110.925,24.376
111.694,24.2393
112.468,24.1031
113.248,23.9676
114.033,23.8327
114.823,23.6984
115.619,23.5647
116.421,23.4317
117.228,23.2993
118.04,23.1675
118.858,23.0364
119.682,22.906
120.512,22.7762
121.347,22.647
122.188,22.5185
123.035,22.3907
123.888,22.2635
124.747,22.1
125.612,22.0111
126.482,21.886
127.359,21.7615
128.242,21.6376
129.131,21.5143
