Freq(Hz), SPL(dB)
20.187378, 104.718
20.523834, 104.836
20.860291, 104.945
21.196747, 105.067
21.533203, 105.214
21.869659, 105.379
22.206116, 105.547
22.542572, 105.701
22.879028, 105.830
23.215485, 105.937
23.551941, 106.032
23.888397, 106.128
24.224854, 106.234
24.561310, 106.353
24.897766, 106.480
25.234222, 106.608
25.570679, 106.731
25.907135, 106.843
26.243591, 106.945
26.580048, 107.037
26.916504, 107.121
27.252960, 107.200
27.589417, 107.279
27.925873, 107.361
28.262329, 107.448
28.598785, 107.538
28.935242, 107.630
29.271698, 107.718
29.608154, 107.803
29.944611, 107.885
30.281067, 107.966
30.617523, 108.049
30.953979, 108.130
31.290436, 108.207
31.626892, 108.277
31.963348, 108.342
32.299805, 108.404
32.636261, 108.463
32.972717, 108.517
33.309174, 108.557
33.645630, 108.580
33.982086, 108.587
34.318542, 108.592
34.654999, 108.612
34.991455, 108.661
35.327911, 108.739
35.664368, 108.829
36.000824, 108.910
36.337280, 108.963
36.673737, 108.986
37.010193, 108.990
37.346649, 108.992
37.683105, 109.008
38.019562, 109.043
38.356018, 109.084
38.692474, 109.117
39.028931, 109.129
39.365387, 109.117
39.701843, 109.091
40.038300, 109.061
40.374756, 109.038
40.711212, 109.024
41.047668, 109.016
41.384125, 109.014
41.720581, 109.017
42.057037, 109.028
42.393494, 109.047
42.729950, 109.072
43.066406, 109.103
43.402863, 109.137
43.739319, 109.179
44.075775, 109.237
44.412231, 109.316
44.748688, 109.416
45.085144, 109.528
45.421600, 109.636
45.758057, 109.723
46.094513, 109.783
46.430969, 109.816
46.767426, 109.831
47.103882, 109.841
47.440338, 109.851
47.776794, 109.859
48.113251, 109.857
48.449707, 109.837
48.786163, 109.798
49.122620, 109.746
49.459076, 109.698
49.795532, 109.670
50.131989, 109.672
50.468445, 109.704
50.804901, 109.756
51.141357, 109.815
51.477814, 109.871
51.814270, 109.918
52.150726, 109.954
52.487183, 109.977
52.823639, 109.988
53.160095, 109.990
53.496552, 109.984
53.833008, 109.974
54.169464, 109.958
54.505920, 109.934
54.842377, 109.898
55.178833, 109.851
55.515289, 109.798
55.851746, 109.748
56.188202, 109.711
56.524658, 109.682
56.861115, 109.652
57.197571, 109.604
57.534027, 109.529
57.870483, 109.432
58.206940, 109.332
58.543396, 109.250
58.879852, 109.193
59.216309, 109.152
59.552765, 109.101
59.889221, 109.026
60.225677, 108.929
60.562134, 108.838
60.898590, 108.786
61.235046, 108.792
61.571503, 108.839
61.907959, 108.890
62.244415, 108.903
62.580872, 108.859
62.917328, 108.769
63.253784, 108.661
63.590240, 108.565
63.926697, 108.494
64.263153, 108.443
64.599609, 108.395
64.936066, 108.335
65.272522, 108.260
65.608978, 108.177
65.945435, 108.099
66.281891, 108.032
66.618347, 107.974
66.954803, 107.910
67.291260, 107.826
67.627716, 107.711
67.964172, 107.567
68.300629, 107.404
68.637085, 107.237
68.973541, 107.079
69.309998, 106.941
69.646454, 106.834
69.982910, 106.764
70.319366, 106.734
70.655823, 106.737
70.992279, 106.761
71.328735, 106.792
71.665192, 106.822
72.001648, 106.845
72.338104, 106.859
72.674561, 106.861
73.011017, 106.855
73.347473, 106.847
73.683929, 106.846
74.020386, 106.864
74.356842, 106.904
74.693298, 106.958
75.029755, 107.005
75.366211, 107.013
75.702667, 106.956
76.039124, 106.821
76.375580, 106.619
76.712036, 106.371
77.048492, 106.112
77.384949, 105.868
77.721405, 105.662
78.057861, 105.499
78.394318, 105.372
78.730774, 105.266
79.067230, 105.164
79.403687, 105.056
79.740143, 104.939
80.076599, 104.812
80.413055, 104.675
80.749512, 104.528
81.085968, 104.373
81.422424, 104.219
81.758881, 104.080
82.095337, 103.970
82.431793, 103.893
82.768250, 103.846
83.104706, 103.812
83.441162, 103.777
83.777618, 103.731
84.114075, 103.676
84.450531, 103.620
84.786987, 103.568
85.123444, 103.517
85.459900, 103.458
85.796356, 103.385
86.132812, 103.297
86.469269, 103.205
86.805725, 103.120
87.142181, 103.050
87.478638, 102.995
87.815094, 102.943
88.151550, 102.882
88.488007, 102.809
88.824463, 102.730
89.160919, 102.660
89.497375, 102.611
89.833832, 102.590
90.170288, 102.590
90.506744, 102.602
90.843201, 102.619
91.179657, 102.641
91.516113, 102.678
91.852570, 102.737
92.189026, 102.824
92.525482, 102.933
92.861938, 103.053
93.198395, 103.172
93.534851, 103.283
93.871307, 103.386
94.207764, 103.485
94.544220, 103.586
94.880676, 103.689
95.217133, 103.797
95.553589, 103.911
95.890045, 104.033
96.226501, 104.168
96.562958, 104.320
96.899414, 104.487
97.235870, 104.661
97.572327, 104.831
97.908783, 104.987
98.245239, 105.121
98.581696, 105.226
98.918152, 105.298
99.254608, 105.333
99.591064, 105.329
99.927521, 105.282
100.263977, 105.196
100.600433, 105.076
100.936890, 104.931
101.273346, 104.771
101.609802, 104.609
101.946259, 104.457
102.282715, 104.331
102.619171, 104.239
102.955627, 104.186
103.292084, 104.165
103.628540, 104.162
103.964996, 104.166
104.301453, 104.171
104.637909, 104.182
104.974365, 104.209
105.310822, 104.262
105.647278, 104.340
105.983734, 104.435
106.320190, 104.534
106.656647, 104.629
106.993103, 104.716
107.329559, 104.796
107.666016, 104.871
108.002472, 104.943
108.338928, 105.014
108.675385, 105.088
109.011841, 105.165
109.348297, 105.246
109.684753, 105.323
110.021210, 105.387
110.357666, 105.431
110.694122, 105.456
111.030579, 105.470
111.367035, 105.485
111.703491, 105.505
112.039948, 105.529
112.376404, 105.550
112.712860, 105.561
113.049316, 105.561
113.385773, 105.559
113.722229, 105.570
114.058685, 105.609
