Freq(Hz), SPL(dB)
20.187378, 105.351
20.523834, 105.491
20.860291, 105.603
21.196747, 105.711
21.533203, 105.831
21.869659, 105.970
22.206116, 106.119
22.542572, 106.265
22.879028, 106.395
23.215485, 106.507
23.551941, 106.608
23.888397, 106.709
24.224854, 106.820
24.561310, 106.943
24.897766, 107.073
25.234222, 107.201
25.570679, 107.318
25.907135, 107.421
26.243591, 107.513
26.580048, 107.599
26.916504, 107.685
27.252960, 107.776
27.589417, 107.870
27.925873, 107.966
28.262329, 108.060
28.598785, 108.150
28.935242, 108.237
29.271698, 108.320
29.608154, 108.399
29.944611, 108.474
30.281067, 108.545
30.617523, 108.611
30.953979, 108.675
31.290436, 108.740
31.626892, 108.808
31.963348, 108.881
32.299805, 108.957
32.636261, 109.030
32.972717, 109.095
33.309174, 109.153
33.645630, 109.206
33.982086, 109.260
34.318542, 109.319
34.654999, 109.382
34.991455, 109.443
35.327911, 109.492
35.664368, 109.526
36.000824, 109.548
36.337280, 109.569
36.673737, 109.601
37.010193, 109.649
37.346649, 109.703
37.683105, 109.746
38.019562, 109.759
38.356018, 109.737
38.692474, 109.693
39.028931, 109.657
39.365387, 109.658
39.701843, 109.708
40.038300, 109.797
40.374756, 109.898
40.711212, 109.978
41.047668, 110.022
41.384125, 110.031
41.720581, 110.024
42.057037, 110.027
42.393494, 110.056
42.729950, 110.112
43.066406, 110.181
43.402863, 110.249
43.739319, 110.304
44.075775, 110.349
44.412231, 110.391
44.748688, 110.435
45.085144, 110.482
45.421600, 110.523
45.758057, 110.548
46.094513, 110.553
46.430969, 110.545
46.767426, 110.540
47.103882, 110.551
47.440338, 110.583
47.776794, 110.626
48.113251, 110.662
48.449707, 110.672
48.786163, 110.648
49.122620, 110.598
49.459076, 110.538
49.795532, 110.488
50.131989, 110.462
50.468445, 110.468
50.804901, 110.508
51.141357, 110.585
51.477814, 110.693
51.814270, 110.814
52.150726, 110.913
52.487183, 110.955
52.823639, 110.919
53.160095, 110.817
53.496552, 110.697
53.833008, 110.618
54.169464, 110.618
54.505920, 110.687
54.842377, 110.781
55.178833, 110.841
55.515289, 110.832
55.851746, 110.752
56.188202, 110.649
56.524658, 110.601
56.861115, 110.658
57.197571, 110.793
57.534027, 110.921
57.870483, 110.968
58.206940, 110.910
58.543396, 110.782
58.879852, 110.645
59.216309, 110.552
59.552765, 110.519
59.889221, 110.519
60.225677, 110.510
60.562134, 110.466
60.898590, 110.389
61.235046, 110.307
61.571503, 110.252
61.907959, 110.231
62.244415, 110.230
62.580872, 110.219
62.917328, 110.171
63.253784, 110.076
63.590240, 109.941
63.926697, 109.783
64.263153, 109.627
64.599609, 109.496
64.936066, 109.406
65.272522, 109.359
